expediente,pueblo,scall_col,territorial,fecha_instalacion,alcaldia,instalado,latitud,longitud
1184-CITOED-IZO-24,AGRICOLA ORIENTAL (SECCIONES 1 A 8),AGRICOLA ORIENTAL (SECCIONES 1 A 8),NO APLICA,03/04/2024,IZTACALCO,Programa SCALL,19.386905,-99.060806
1184-CRTOKA-TLC-24,GUADALUPE TLALTENCO,GUADALUPE TLALTENCO,NO APLICA,11/06/2024,TLAHUAC,Programa SCALL,19.290472,-99.011191
1184-SAMAWE-TLN-24,H?ÎROES DE PADIERNA,H?ÎROES DE PADIERNA,NO APLICA,14/05/2024,TLALPAN,Programa SCALL,19.28068,-99.2223
1184-VAMOJU-XOO-24,BARRIO SAN MARCOS,BARRIO SAN MARCOS,NO APLICA,05/06/2024,XOCHIMILCO,Programa SCALL,19.26247,-99.1103
1185-ALACGA-TLN-24,AMPLIACI?ÙN MIGUEL HIDALGO 1A SECC,AMPLIACI?ÙN MIGUEL HIDALGO 1A SECC,NO APLICA,02/04/2024,TLALPAN,Programa SCALL,19.28395,-99.2006
1185-PAJURA-XOO-24,SAN LORENZO ATEMOAYA (PBO),SAN LORENZO ATEMOAYA (PBO),NO APLICA,30/07/2024,XOCHIMILCO,Programa SCALL,19.24223,-99.1028
1186-CAUROR-IZO-24,ZAPOTLA (BARR),ZAPOTLA (BARR),NO APLICA,05/06/2024,IZTACALCO,Programa SCALL,19.393167,-99.122547
1186-ROSARO-XOO-24,SAN GREGORIO ATLAPULCO (PBO),SAN GREGORIO ATLAPULCO (PBO),NO APLICA,18/05/2024,XOCHIMILCO,Programa SCALL,19.25122,-99.0693
1186-TRCRMA-IZA-24,PUENTE BLANCO,PUENTE BLANCO,NO APLICA,18/05/2024,IZTAPALAPA,Programa SCALL,19.32809,-99.066559
1187-ESHEJO-TLC-24,LA ESTACION,LA ESTACION,NO APLICA,27/03/2024,TLAHUAC,Programa SCALL,19.30904,-99.042237
1187-RARENO-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,23/04/2024,IZTACALCO,Programa SCALL,19.405445,-99.060285
1188-GAREAN-TLC-24,SELENE (1A SECCION),SELENE (1A SECCION),NO APLICA,06/06/2024,TLAHUAC,Programa SCALL,19.28188,-99.0043
1189-GOHECA-XOO-24,SAN GREGORIO ATLAPULCO (PBO),SAN GREGORIO ATLAPULCO (PBO),NO APLICA,06/05/2024,XOCHIMILCO,Programa SCALL,19.25405,-99.0616
1189-LENILE-TLC-24,OJO DE AGUA,OJO DE AGUA,NO APLICA,01/06/2024,TLAHUAC,Programa SCALL,19.29085,-99.010731
1189-VACONA-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,26/04/2024,IZTACALCO,Programa SCALL,19.405445,-99.060285
1189-VIMEAR-VEA-24,MOCTEZUMA 2A SECCION III,MOCTEZUMA 2A SECCION III,NO APLICA,13/05/2024,VENUSTIANO CARRANZA,Programa SCALL,19.436108,-99.097242
