fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2022-05-31,4189,1058,3775,977,0.25256624492719026,0.25880794701986753
2022-06-01,4771,1127,4397,1048,0.23621882204988473,0.2383443256765977
2022-06-02,4852,1233,4440,1136,0.25412201154163233,0.25585585585585585
2022-06-03,5195,1063,4745,962,0.20461982675649665,0.2027397260273973
2022-06-04,3674,527,3308,498,0.14344039194338595,0.1505441354292624
2022-06-05,882,197,714,166,0.2233560090702948,0.23249299719887956
2022-06-06,5832,1714,5364,1603,0.2938957475994513,0.2988441461595824
2022-06-07,5484,1760,5053,1679,0.32093362509117435,0.33227785473975857
2022-06-08,6362,2010,5827,1864,0.3159383841559258,0.3198901664664493
2022-06-09,5997,1970,5476,1842,0.3284975821243955,0.3363769174579985
2022-06-10,6466,2013,5991,1877,0.3113207547169811,0.31330328826573195
2022-06-11,3484,882,3172,827,0.25315729047072333,0.260718789407314
2022-06-12,1015,310,823,291,0.3054187192118227,0.353584447144593
2022-06-13,8776,2798,7919,2611,0.31882406563354604,0.3297133476449047
2022-06-14,8204,3085,7433,2886,0.37603607996099464,0.38826853222117585
2022-06-15,8202,3031,7463,2847,0.36954401365520606,0.3814819777569342
2022-06-16,7715,3384,7004,3132,0.4386260531432275,0.4471730439748715
2022-06-17,7925,3304,7261,3065,0.4169085173501577,0.4221181655419364
2022-06-18,4217,1322,3917,1246,0.31349300450557266,0.3181005871840694
2022-06-19,1398,496,1213,476,0.3547925608011445,0.39241549876339654
2022-06-20,9996,4977,9278,4613,0.4978991596638655,0.49719767191205
2022-06-21,9997,5029,9203,4644,0.5030509152745823,0.5046180593284798
2022-06-22,10193,5240,9489,4885,0.5140782890218778,0.5148066181894826
2022-06-23,10664,5575,9789,5143,0.5227869467366841,0.5253856369394218
2022-06-24,10505,5510,9703,5088,0.5245121370775822,0.5243739049778419
2022-06-25,6839,3016,6193,2758,0.4410001462202076,0.44534151461327304
2022-06-26,1983,910,1745,824,0.4589006555723651,0.4722063037249284
2022-06-27,11978,6487,10946,5954,0.5415762230756387,0.5439429928741093
2022-06-28,12575,7286,11541,6709,0.5794035785288271,0.5813187765358288
2022-06-29,13474,7819,12363,7209,0.5803028054029984,0.5831108954137345
2022-06-30,12998,7543,11923,6946,0.5803200492383443,0.5825715004612932
2022-07-01,13283,7945,12137,7293,0.5981329518933975,0.6008898409821208
2022-07-02,5003,2297,4604,2156,0.4591245252848291,0.4682884448305822
2022-07-03,1862,868,1666,797,0.46616541353383456,0.47839135654261705
2022-07-04,15079,8681,13758,7894,0.5757013064526826,0.5737752580316906
2022-07-05,15558,8664,14290,7939,0.5568839182414193,0.5555633310006998
2022-07-06,15886,9323,14524,8523,0.5868689412060935,0.5868218121729551
2022-07-07,16652,9561,15214,8737,0.5741652654335816,0.5742736952806625
2022-07-08,15491,9233,14170,8394,0.596023497514686,0.5923782639378969
2022-07-09,5980,3184,5579,2961,0.5324414715719064,0.5307402760351317
2022-07-10,2602,1229,2403,1164,0.47232897770945426,0.484394506866417
