,cycleId,latitude_decimal,longitude_decimal,CO
362472,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,1.34
362474,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.61
362475,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,0.1
362478,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.69
362480,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.54
362481,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,2.94
362487,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,0.23
362490,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.63
362492,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.47
362493,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,0.12
362494,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,3.05
362496,fff34e0f186eb3d2,19.398900194444444,-99.02463767222224,4.48
362498,fff82999a5da9846,19.398904091666665,-99.0246292,-0.03
362499,fff82999a5da9846,19.398904091666665,-99.0246292,4.45
362500,fff82999a5da9846,19.398904091666665,-99.0246292,1.58
362501,fff82999a5da9846,19.398904091666665,-99.0246292,4.58
362503,fff82999a5da9846,19.398904091666665,-99.0246292,4.19
362504,fff82999a5da9846,19.398904091666665,-99.0246292,4.3
362505,fff82999a5da9846,19.398904091666665,-99.0246292,4.7
362506,fff82999a5da9846,19.398904091666665,-99.0246292,1.31
362507,fff82999a5da9846,19.398904091666665,-99.0246292,4.46
362508,fff82999a5da9846,19.398904091666665,-99.0246292,4.54
362510,fff82999a5da9846,19.398904091666665,-99.0246292,4.66
362511,fff82999a5da9846,19.398904091666665,-99.0246292,4.51
362512,fff82999a5da9846,19.398904091666665,-99.0246292,3.1
362528,fff82999a5da9846,19.3988985,-99.02462886111113,-0.03
362529,fff82999a5da9846,19.3988985,-99.02462886111113,4.45
362530,fff82999a5da9846,19.3988985,-99.02462886111113,1.58
362531,fff82999a5da9846,19.3988985,-99.02462886111113,4.58
362533,fff82999a5da9846,19.3988985,-99.02462886111113,4.19
362534,fff82999a5da9846,19.3988985,-99.02462886111113,4.3
362535,fff82999a5da9846,19.3988985,-99.02462886111113,4.7
362536,fff82999a5da9846,19.3988985,-99.02462886111113,1.31
362537,fff82999a5da9846,19.3988985,-99.02462886111113,4.46
362538,fff82999a5da9846,19.3988985,-99.02462886111113,4.54
362540,fff82999a5da9846,19.3988985,-99.02462886111113,4.66
362541,fff82999a5da9846,19.3988985,-99.02462886111113,4.51
362542,fff82999a5da9846,19.3988985,-99.02462886111113,3.1
362543,fff82999a5da9846,19.39889866944444,-99.02462903055554,-0.03
362544,fff82999a5da9846,19.39889866944444,-99.02462903055554,4.45
362545,fff82999a5da9846,19.39889866944444,-99.02462903055554,1.58
362546,fff82999a5da9846,19.39889866944444,-99.02462903055554,4.58
362548,fff82999a5da9846,19.39889866944444,-99.02462903055554,4.19
362549,fff82999a5da9846,19.39889866944444,-99.02462903055554,4.3
362550,fff82999a5da9846,19.39889866944444,-99.02462903055554,4.7
362551,fff82999a5da9846,19.39889866944444,-99.02462903055554,1.31
362552,fff82999a5da9846,19.39889866944444,-99.02462903055554,4.46
362553,fff82999a5da9846,19.39889866944444,-99.02462903055554,4.54
362555,fff82999a5da9846,19.39889866944444,-99.02462903055554,4.66
362556,fff82999a5da9846,19.39889866944444,-99.02462903055554,4.51
362557,fff82999a5da9846,19.39889866944444,-99.02462903055554,3.1
362573,fff82999a5da9846,19.398899855555555,-99.02463021666668,-0.03
362574,fff82999a5da9846,19.398899855555555,-99.02463021666668,4.45
362575,fff82999a5da9846,19.398899855555555,-99.02463021666668,1.58
362576,fff82999a5da9846,19.398899855555555,-99.02463021666668,4.58
362578,fff82999a5da9846,19.398899855555555,-99.02463021666668,4.19
362579,fff82999a5da9846,19.398899855555555,-99.02463021666668,4.3
362580,fff82999a5da9846,19.398899855555555,-99.02463021666668,4.7
362581,fff82999a5da9846,19.398899855555555,-99.02463021666668,1.31
362582,fff82999a5da9846,19.398899855555555,-99.02463021666668,4.46
