attribute,average
pm_10,14.833333333333334
alto_pm_10,26.83333333333333
temp,33.083333333333336
temp_alta,33.5
temp_baja,32.916666666666664
hum,10.5
alta_hum,11.416666666666666
hum_baja,10.0
punto_de_roco,-1.75
mxima_del_punto_de_roco,-0.6666666666666666
mnima_del_punto_de_roco,-2.5
bulbo_hmedo,4.5
mxima_temperatura_de_bulbo_hmedo,5.583333333333333
mnima_de_la_temperatura_de_bulbo_hmedo,4.083333333333333
ndice_de_calor,30.83333333333333
mxima_del_indice_de_calor,31.08333333333333
time,
aqi,57.083333333333336
aqi_alto,77.66666666666667
pm_1,12.25
alto_pm_1,18.25
pm_25,15.083333333333334
alto_pm_25,24.58333333333333
pm_10,16.0
alto_pm_10,27.08333333333333
temp,28.75
temp_alta,29.0
temp_baja,28.58333333333333
hum,13.0
alta_hum,13.25
hum_baja,12.416666666666666
punto_de_roco,-2.6666666666666665
mxima_del_punto_de_roco,-2.0
mnima_del_punto_de_roco,-3.0
bulbo_hmedo,4.0
mxima_temperatura_de_bulbo_hmedo,4.416666666666667
